name,lat,lng
1 Av,40.730953,-73.981628
103 St,40.799446,-73.968379
103 St-Corona Plaza,40.749865,-73.8627
104 St,40.681711,-73.837683
110 St,40.79502,-73.94425
110 St-Malcolm X Plaza,40.799075,-73.951822
111 St,40.75173,-73.855334
116 St,40.802098,-73.949625
116 St-Columbia University,40.807722,-73.96411
121 St,40.700492,-73.828294
125 St,40.815581,-73.958372
135 St,40.814229,-73.94077
137 St-City College,40.822008,-73.953676
138 St-Grand Concourse,40.813224,-73.929849
14 St,40.737826,-74.000201
14 St-Union Sq,40.734673,-73.989951
145 St,40.826551,-73.95036
149 St-Grand Concourse,40.81841,-73.926718
15 St-Prospect Park,40.660365,-73.979493
155 St,40.830518,-73.941514
157 St,40.834041,-73.94489
161 St-Yankee Stadium,40.827994,-73.925831
163 St-Amsterdam Av,40.836013,-73.939892
167 St,40.835537,-73.9214
168 St,40.840719,-73.939561
168 St-Washington Hts,40.840556,-73.940133
169 St,40.71047,-73.793604
170 St,40.840075,-73.917791
174 St,40.837288,-73.887734
174-175 Sts,40.8459,-73.910136
175 St,40.847391,-73.939704
176 St,40.84848,-73.911794
18 Av,40.607954,-74.001736
18 St,40.74104,-73.997871
181 St,40.849505,-73.933596
182-183 Sts,40.856093,-73.900741
183 St,40.858407,-73.903879
190 St,40.859022,-73.93418
191 St,40.855225,-73.929412
2 Av,40.723402,-73.989938
20 Av,40.604556,-73.998168
207 St,40.864621,-73.918822
21 St,40.744065,-73.949724
21 St-Queensbridge,40.754203,-73.942836
215 St,40.869444,-73.915279
219 St,40.883895,-73.862633
225 St,40.888022,-73.860341
23 St,40.744081,-73.995657
23 St-Baruch College,40.739864,-73.986599
231 St,40.878856,-73.904834
233 St,40.893193,-73.857473
238 St,40.884667,-73.90087
25 Av,40.597704,-73.986829
25 St,40.660397,-73.998091
28 St,40.747215,-73.993365
3 Av,40.732849,-73.986122
3 Av-138 St,40.810476,-73.926138
3 Av-149 St,40.816109,-73.917757
30 Av,40.766779,-73.921479
33 St,40.746081,-73.982076
33 St-Rawson St,40.744587,-73.930997
34 St-Herald Sq,40.749719,-73.987823
34 St-Hudson Yards,40.755882,-74.00191
34 St-Penn Station,40.750373,-73.991057
36 Av,40.756804,-73.929575
36 St,40.752039,-73.928781
39 Av-Dutch Kills,40.752882,-73.932755
